observed_on,updated_at,num_identification_agreements,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,scientific_name,common_name
3/24/2019,2019-03-24 23:46:57 UTC,0,"755–787 N Sunnyside Ave, Sierra Madre, CA, US",34.17359117,-118.0615891,10,10,Quercus agrifolia,coast live oak
3/4/2019,2019-09-30 16:56:37 UTC,0,"Malibu Creek, Malibu Creek State Park, Santa Monica Mountains National Recreation Area, Los Angeles County, US-CA, US",34.12183339,-118.7224598,7,7,Quercus agrifolia,coast live oak
3/9/2019,2019-03-25 22:28:58 UTC,0,"Wilacre Park, Los Angeles, CA, US",34.13272783,-118.3969283,10,10,Quercus agrifolia,coast live oak
3/14/2019,2019-03-26 06:56:52 UTC,0,"Valle Lindo, Diamond Bar, CA, USA",33.99952586,-117.8001134,2,2,Quercus agrifolia,coast live oak
3/26/2019,2019-07-31 05:06:20 UTC,1,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.21737365,-118.1454018,23,23,Quercus agrifolia,coast live oak
3/26/2019,2022-03-16 14:10:32 UTC,2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.21814163,-118.14651,18,18,Quercus agrifolia,coast live oak
3/27/2019,2019-03-27 19:43:39 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21772235,-118.1462231,10,10,Quercus agrifolia,coast live oak
3/27/2019,2019-03-28 00:03:57 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21770182,-118.1462202,5,5,Quercus agrifolia,coast live oak
3/27/2019,2019-03-27 19:21:25 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21547315,-118.1460108,10,10,Quercus agrifolia,coast live oak
3/13/2019,2019-03-31 21:06:59 UTC,1,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.21863825,-118.1445057,1383,1383,Quercus agrifolia,coast live oak
3/27/2019,2019-03-28 19:16:12 UTC,1,"Angeles National Forest, Altadena, CA, US",34.21703647,-118.1465718,36,36,Quercus agrifolia,coast live oak
3/26/2019,2019-05-11 23:24:38 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21767117,-118.1470743,11,11,Quercus agrifolia,coast live oak
3/28/2019,2019-04-01 03:47:27 UTC,1,"962 Durfee Ave, South El Monte, CA 91733, USA",34.03387629,-118.0448473,3,3,Quercus agrifolia,coast live oak
3/28/2019,2019-03-31 20:30:52 UTC,1,"Occidental College, Los Angeles, CA, US",34.12603883,-118.2100967,32,32,Quercus agrifolia,coast live oak
3/28/2019,2020-06-04 17:25:31 UTC,1,"Gabrieleno Trail, Altadena, CA 91001, USA",34.21366256,-118.1739476,132,132,Quercus agrifolia,coast live oak
3/26/2019,2019-05-09 21:36:25 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21754092,-118.1470209,5,5,Quercus agrifolia,coast live oak
3/22/2019,2019-03-29 00:04:01 UTC,0,"65 N Arroyo Blvd, Pasadena, CA, US",34.1467445,-118.1640388,16,16,Quercus agrifolia,coast live oak
3/25/2019,2019-03-29 14:48:37 UTC,0,"San Dimas Canyon Regional Park, San Dimas, CA, US",34.12861667,-117.7924417,5,5,Quercus agrifolia,coast live oak
3/31/2019,2019-04-01 07:59:19 UTC,1,"Lower Arroyo Park, Pasadena, CA, US",34.1425695,-118.1670617,8,8,Quercus agrifolia,coast live oak
4/1/2019,2019-04-02 02:08:26 UTC,0,"Oxy Occidental College, Los Angeles, CA, US",34.1269805,-118.2115633,25,25,Quercus agrifolia,coast live oak
4/1/2019,2019-10-03 05:18:02 UTC,0,"Oxy Occidental College, Los Angeles, CA, US",34.12688883,-118.2116617,10,10,Quercus agrifolia,coast live oak
3/26/2019,2019-04-02 17:35:57 UTC,0,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.21703018,-118.1461662,12,12,Quercus agrifolia,coast live oak
3/26/2019,2019-04-02 17:36:20 UTC,0,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.2178651,-118.1461372,28,28,Quercus agrifolia,coast live oak
3/26/2019,2019-04-02 21:13:16 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21919014,-118.1297405,1619,1619,Quercus agrifolia,coast live oak
3/27/2019,2019-04-03 05:51:45 UTC,0,"Angeles MRCA Open Space, Los Angeles, California, United States",34.21643469,-118.1465934,,,Quercus agrifolia,coast live oak
3/27/2019,2019-04-03 05:51:49 UTC,0,"Angeles MRCA Open Space, Los Angeles, California, United States",34.2175705,-118.1454115,,,Quercus agrifolia,coast live oak
3/26/2019,2019-04-03 06:15:31 UTC,1,"1600 Campus Rd, Los Angeles, CA 90041, USA",34.1273616,-118.2104781,741,741,Quercus agrifolia,coast live oak
3/27/2019,2019-04-03 06:26:46 UTC,0,"4041 Chaney Trail, Altadena, CA 91001, USA",34.2172189,-118.1452884,,,Quercus agrifolia,coast live oak
3/13/2019,2019-04-03 11:12:23 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21790333,-118.1466667,9,9,Quercus agrifolia,coast live oak
3/27/2019,2019-05-20 07:47:27 UTC,0,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.21745006,-118.1454161,7,7,Quercus agrifolia,coast live oak
4/3/2019,2019-04-03 21:29:32 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21727031,-118.1481594,5,5,Quercus agrifolia,coast live oak
4/3/2019,2019-04-03 19:35:00 UTC,1,"Eaton Canyon Natural Area, Pasadena, CA, US",34.18181257,-118.0970835,65,65,Quercus agrifolia,coast live oak
4/3/2019,2020-09-23 18:07:33 UTC,2,"Eaton Canyon Natural Area, Pasadena, CA, US",34.18002833,-118.09665,165,165,Quercus agrifolia,coast live oak
4/3/2019,2019-04-04 05:52:03 UTC,1,"Occidental College, Los Angeles, CA, US",34.12987783,-118.2094288,10,10,Quercus agrifolia,coast live oak
4/3/2019,2019-04-03 19:51:52 UTC,0,"Occidental College, Los Angeles, CA, US",34.13006851,-118.2095134,10,10,Quercus agrifolia,coast live oak
4/3/2019,2019-04-04 00:22:56 UTC,0,"Oxy Occidental College, Los Angeles, CA, US",34.12711251,-118.2120636,10,10,Quercus agrifolia,coast live oak
4/2/2019,2019-04-04 01:13:29 UTC,0,"North Arroyo, Pasadena, CA, USA",34.21174167,-118.1710333,,,Quercus agrifolia,coast live oak
4/2/2019,2019-04-04 05:47:46 UTC,1,"North Arroyo, Pasadena, CA, USA",34.21237,-118.171575,,,Quercus agrifolia,coast live oak
4/3/2019,2019-04-04 05:35:58 UTC,0,"Angeles National Forest, Altadena, CA, US",34.2170753,-118.1462901,8,8,Quercus agrifolia,coast live oak
4/3/2019,2019-12-08 07:12:45 UTC,2,"Angeles National Forest, Altadena, CA, US",34.21648105,-118.1459802,9,9,Quercus agrifolia,coast live oak
4/2/2019,2019-04-22 23:22:00 UTC,1,"Occidental College, Los Angeles, CA, US",34.12781117,-118.2114633,10,10,Quercus agrifolia,coast live oak
4/2/2019,2019-04-05 01:33:22 UTC,0,"Occidental College, Los Angeles, CA, US",34.12881383,-118.21025,24,24,Quercus agrifolia,coast live oak
3/27/2019,2019-04-06 17:21:26 UTC,1,"Angeles National Forest, Altadena, CA, US",34.21685,-118.1464222,65,65,Quercus agrifolia,coast live oak
3/27/2019,2019-04-06 21:13:49 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21757167,-118.1454083,16,16,Quercus agrifolia,coast live oak
3/27/2019,2019-05-05 21:54:52 UTC,0,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.21725162,-118.1476103,60,60,Quercus agrifolia,coast live oak
4/7/2019,2021-01-19 23:38:00 UTC,1,"24418 Torch St, Los Angeles, CA, US",34.17583861,-118.6572065,50,50,Quercus agrifolia,coast live oak
4/7/2019,2019-04-08 08:06:24 UTC,0,"367 E Palm St, Altadena, CA, US",34.19441017,-118.1391788,2008,2008,Quercus agrifolia,coast live oak
4/8/2019,2019-04-08 21:44:53 UTC,0,"Mt. San Antonio College, Walnut, CA, US",34.04301629,-117.8448887,16,16,Quercus agrifolia,coast live oak
4/3/2019,2019-04-09 01:56:20 UTC,0,"Angeles National Forest, Altadena, CA, US",34.21743,-118.1477583,5,5,Quercus agrifolia,coast live oak
4/8/2019,2019-04-09 19:25:33 UTC,0,"Angeles National Forest, Palmdale, CA, US",34.26589167,-118.144325,12,12,Quercus agrifolia,coast live oak
4/8/2019,2019-04-09 19:27:19 UTC,0,"Angeles National Forest, Palmdale, CA, US",34.26613833,-118.1444167,16,16,Quercus agrifolia,coast live oak
4/8/2019,2019-04-09 19:29:59 UTC,0,"Angeles National Forest, Palmdale, CA, US",34.26614667,-118.14415,8,8,Quercus agrifolia,coast live oak
4/8/2019,2019-04-09 19:31:48 UTC,0,"Angeles National Forest, Palmdale, CA, US",34.266025,-118.1440417,16,16,Quercus agrifolia,coast live oak
4/9/2019,2019-06-14 23:43:23 UTC,1,"Mt. San Antonio College, Walnut, CA, US",34.04313222,-117.8446508,8,8,Quercus agrifolia,coast live oak
4/9/2019,2019-10-01 05:12:50 UTC,0,"675 E Foothill Blvd, Azusa, CA, US",34.13436915,-117.8972745,57,57,Quercus agrifolia,coast live oak
3/17/2019,2019-04-10 15:18:00 UTC,0,"Santa Monica Mountains National Recreation Area, Calabasas, CA, US",34.109525,-118.70912,,,Quercus agrifolia,coast live oak
4/10/2019,2019-04-10 17:21:09 UTC,0,"Santa Monica Mountains National Recreation Area, Calabasas, CA, US",34.1367732,-118.6310737,5,5,Quercus agrifolia,coast live oak
4/10/2019,2019-04-10 17:39:14 UTC,0,"Santa Monica Mountains National Recreation Area, Calabasas, CA, US",34.13677746,-118.631151,4,4,Quercus agrifolia,coast live oak
4/10/2019,2019-04-10 19:51:25 UTC,0,"Santa Monica Mountains National Recreation Area, Calabasas, CA, US",34.13674571,-118.6311719,5,5,Quercus agrifolia,coast live oak
3/17/2019,2019-09-20 03:06:45 UTC,1,"Claremont, CA, USA",34.15358523,-117.7229559,8,8,Quercus agrifolia,coast live oak
4/11/2019,2019-04-11 17:28:51 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.1406793,-118.1683601,12,12,Quercus agrifolia,coast live oak
4/11/2019,2019-04-11 17:33:50 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.14076331,-118.1683473,6,6,Quercus agrifolia,coast live oak
4/11/2019,2019-04-12 00:28:31 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.14112791,-118.1681174,48,48,Quercus agrifolia,coast live oak
4/11/2019,2019-04-11 17:42:07 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.1418549,-118.16878,32,32,Quercus agrifolia,coast live oak
4/11/2019,2019-04-11 17:52:40 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.1420508,-118.1687496,6,6,Quercus agrifolia,coast live oak
4/11/2019,2019-04-11 17:54:38 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.14257439,-118.1677755,48,48,Quercus agrifolia,coast live oak
4/11/2019,2019-04-11 17:56:09 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.14280411,-118.167753,6,6,Quercus agrifolia,coast live oak
4/11/2019,2019-04-12 00:26:55 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.14405376,-118.1663729,32,32,Quercus agrifolia,coast live oak
4/11/2019,2019-12-08 07:13:13 UTC,2,"Mt. San Antonio College, Walnut, CA, US",34.04300909,-117.8446647,24,24,Quercus agrifolia,coast live oak
4/11/2019,2019-06-14 19:20:04 UTC,2,"Mt. San Antonio College, Walnut, CA, US",34.04301444,-117.8473054,2000,2000,Quercus agrifolia,coast live oak
4/11/2019,2019-04-11 21:29:54 UTC,0,"Arroyo Seco Museum Science Magnet, Los Angeles, CA, US",34.10167844,-118.2043684,65,65,Quercus agrifolia,coast live oak
4/11/2019,2019-04-12 00:27:50 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.14503484,-118.1648352,32,32,Quercus agrifolia,coast live oak
4/11/2019,2019-04-12 00:29:28 UTC,0,"CA-134 W, Pasadena, CA, US",34.14584919,-118.165365,65,65,Quercus agrifolia,coast live oak
4/11/2019,2019-04-12 01:23:19 UTC,1,"65 N Arroyo Blvd, Pasadena, CA, US",34.14691196,-118.1646169,12,12,Quercus agrifolia,coast live oak
4/6/2019,2019-04-12 01:05:43 UTC,1,"Los Angeles County, US-CA, US",33.98157833,-117.9491467,10,10,Quercus agrifolia,coast live oak
4/12/2019,2020-09-23 18:07:07 UTC,2,"Robert M McCurdy Nature Center, Pasadena, CA, US",34.1770324,-118.0971589,5,5,Quercus agrifolia,coast live oak
4/12/2019,2020-09-05 05:14:43 UTC,1,"Eaton Canyon Nature Center, 1750 N Altadena Dr, Pasadena, CA 91107, USA",34.17756102,-118.0969372,7,7,Quercus agrifolia,coast live oak
3/17/2019,2022-05-26 07:24:40 UTC,1,"Claremont, CA, USA",34.14880677,-117.7117342,8,8,Quercus agrifolia,coast live oak
4/13/2019,2020-09-05 05:15:48 UTC,1,"Eaton Canyon Natural Area, Pasadena, CA, US",34.17762609,-118.0969277,5,5,Quercus agrifolia,coast live oak
4/13/2019,2020-09-05 05:15:05 UTC,2,"Eaton Canyon Natural Area, Pasadena, CA, US",34.17746633,-118.0971717,5,5,Quercus agrifolia,coast live oak
3/26/2019,2020-08-07 00:37:54 UTC,0,"Los Angeles, CA, USA",34.129406,-118.4049835,,,Quercus agrifolia,coast live oak
4/13/2019,2021-12-15 02:28:07 UTC,1,"8026 W Third St, Los Angeles, CA, US",34.07177846,-118.3649183,65,65,Quercus agrifolia,coast live oak
4/13/2019,2021-01-19 23:37:45 UTC,2,"University of California Los Angeles - Drake Track Stadium, Los Angeles, CA, US",34.0708805,-118.4482633,7,7,Quercus agrifolia,coast live oak
4/10/2019,2019-04-14 05:48:16 UTC,1,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.26509857,-118.1489792,,,Quercus agrifolia,coast live oak
4/15/2019,2019-12-08 07:11:05 UTC,1,"Pasadena, CA 91105, USA",34.1402854,-118.167294,194,194,Quercus agrifolia,coast live oak
4/16/2019,2019-04-16 20:30:47 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.13978851,-118.1673228,48,48,Quercus agrifolia,coast live oak
4/17/2019,2023-03-18 00:12:35 UTC,2,"UCLA Lab School, Los Angeles, CA, US",34.07565483,-118.4438988,10,10,Quercus agrifolia,coast live oak
4/17/2019,2023-03-18 00:10:58 UTC,2,"UCLA Lab School, Los Angeles, CA, US",34.07567357,-118.443884,59,59,Quercus agrifolia,coast live oak
4/17/2019,2023-03-18 00:10:59 UTC,2,"UCLA Lab School, Los Angeles, CA, US",34.07549179,-118.4437496,64,64,Quercus agrifolia,coast live oak
4/17/2019,2019-04-17 18:06:37 UTC,0,"4700 N Griffin Ave, Los Angeles, CA, US",34.09724132,-118.2009538,16,16,Quercus agrifolia,coast live oak
4/17/2019,2023-03-18 00:12:24 UTC,2,"UCLA Lab School, Los Angeles, CA, US",34.07501685,-118.4443513,10,10,Quercus agrifolia,coast live oak
4/17/2019,2025-01-20 11:48:16 UTC,3,"UCLA Anderson School of Management, Los Angeles, CA, US",34.07375875,-118.4442234,12,12,Quercus agrifolia,coast live oak
4/17/2019,2021-01-19 23:37:35 UTC,2,"University of California, Los Angeles, Los Angeles, CA, US",34.07396823,-118.4443158,10,10,Quercus agrifolia,coast live oak
4/17/2019,2021-01-19 23:37:14 UTC,2,"UCLA Anderson School of Management, Los Angeles, CA, US",34.07395083,-118.4445435,10,10,Quercus agrifolia,coast live oak
4/17/2019,2019-04-19 05:14:14 UTC,1,"4835 Minden Pl, Los Angeles, CA, US",34.1350266,-118.1871118,32,32,Quercus agrifolia,coast live oak
4/12/2019,2019-04-18 16:54:13 UTC,0,"lSanta Fe Springs, CA 90670, USA",33.9472084,-118.0841675,,,Quercus agrifolia,coast live oak
4/17/2019,2019-04-19 21:49:43 UTC,0,"4730 Crystal Springs Dr, Los Angeles, CA 90027, USA",34.1365544,-118.2942,5883,5883,Quercus agrifolia,coast live oak
4/19/2019,2019-04-20 00:18:25 UTC,0,"2354 Fletcher Dr, Los Angeles, CA 90039, USA",34.10482732,-118.2569985,33,33,Quercus agrifolia,coast live oak
4/19/2019,2019-04-21 05:23:11 UTC,1,"2354 Fletcher Dr, Los Angeles, CA 90039, USA",34.10477179,-118.2570793,33,33,Quercus agrifolia,coast live oak
4/11/2019,2020-09-23 18:06:43 UTC,2,"Eaton Canyon Natural Area, Pasadena, CA, US",34.17893667,-118.0966945,69,69,Quercus agrifolia,coast live oak
4/11/2019,2020-09-23 18:06:19 UTC,2,"Eaton Canyon Natural Area, Pasadena, CA, US",34.179805,-118.096725,42,42,Quercus agrifolia,coast live oak
4/11/2019,2020-09-23 18:05:55 UTC,2,"Eaton Canyon Natural Area, Pasadena, CA, US",34.17997833,-118.0965195,7,7,Quercus agrifolia,coast live oak
4/11/2019,2020-09-05 05:14:11 UTC,1,"Eaton Canyon Natural Area, Pasadena, CA, US",34.17997,-118.0965362,6,6,Quercus agrifolia,coast live oak
4/11/2019,2020-09-23 18:05:27 UTC,2,"Eaton Canyon Natural Area, Pasadena, CA, US",34.18166333,-118.0963138,8,8,Quercus agrifolia,coast live oak
4/11/2019,2020-09-05 05:13:51 UTC,1,"Eaton Canyon Natural Area, Pasadena, CA, US",34.18192167,-118.096925,65,65,Quercus agrifolia,coast live oak
4/11/2019,2020-09-23 18:04:58 UTC,2,"Eaton Canyon Natural Area, Pasadena, CA, US",34.18179667,-118.0964888,5,5,Quercus agrifolia,coast live oak
4/20/2019,2019-04-21 03:22:30 UTC,1,"Lower Arroyo Park, Pasadena, CA, US",34.14278156,-118.1671336,10,10,Quercus agrifolia,coast live oak
4/20/2019,2019-04-20 16:04:39 UTC,0,"177 S Arroyo Blvd, Pasadena, CA 91105, USA",34.14207493,-118.1675169,16,16,Quercus agrifolia,coast live oak
4/20/2019,2019-04-20 18:28:00 UTC,0,"Marsh Park, Los Angeles, CA, US",34.10725616,-118.2477745,5,5,Quercus agrifolia,coast live oak
4/21/2019,2019-04-22 00:06:43 UTC,1,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.26591623,-118.1461207,8,8,Quercus agrifolia,coast live oak
4/22/2019,2019-04-22 16:28:44 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.13941568,-118.1682839,10,10,Quercus agrifolia,coast live oak
4/22/2019,2019-04-22 16:31:50 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.13961117,-118.168145,6,6,Quercus agrifolia,coast live oak
4/22/2019,2019-04-22 16:36:03 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.13942486,-118.1682656,10,10,Quercus agrifolia,coast live oak
4/22/2019,2019-04-22 16:34:45 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.1396369,-118.1682947,16,16,Quercus agrifolia,coast live oak
4/22/2019,2019-04-22 16:39:22 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.139575,-118.1682367,6,6,Quercus agrifolia,coast live oak
4/22/2019,2019-04-22 17:12:55 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.13944242,-118.1681916,10,10,Quercus agrifolia,coast live oak
4/22/2019,2019-04-28 17:03:23 UTC,0,"720 W Holly St, Pasadena, CA 91105, USA",34.14771647,-118.1654293,48,48,Quercus agrifolia,coast live oak
4/22/2019,2019-05-08 02:31:07 UTC,0,"10524 Seabury Ln, Los Angeles, CA, US",34.1096062,-118.4492965,19,19,Quercus agrifolia,coast live oak
4/22/2019,2019-04-22 20:12:31 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.14113489,-118.1685837,10,10,Quercus agrifolia,coast live oak
4/22/2019,2019-04-22 20:18:00 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.14101117,-118.16877,8,8,Quercus agrifolia,coast live oak
3/7/2019,2020-11-24 05:36:39 UTC,1,"2322–2370 N Altadena Dr, Pasadena, CA, US",34.184875,-118.1016167,14,14,Quercus agrifolia,coast live oak
4/20/2019,2019-04-23 21:21:56 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.1439805,-118.1663362,10,10,Quercus agrifolia,coast live oak
4/20/2019,2019-04-24 10:58:17 UTC,0,"Lower Arroyo Park, Pasadena, CA, US",34.14206383,-118.167495,10,10,Quercus agrifolia,coast live oak
4/23/2019,2023-11-06 03:28:37 UTC,1,"Los Angeles County, US-CA, US",34.3007361,-118.7703331,,28846,Quercus agrifolia,coast live oak
4/24/2019,2019-06-03 06:41:26 UTC,0,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.2688709,-118.141456,5,5,Quercus agrifolia,coast live oak
4/24/2019,2019-04-25 01:16:50 UTC,0,"490 S Arroyo Blvd, Pasadena, CA, US",34.14090044,-118.1682394,11,11,Quercus agrifolia,coast live oak
11/18/2018,2021-01-19 23:37:01 UTC,1,"2940 Triunfo Canyon Rd, Agoura Hills, CA, US",34.12266117,-118.7920917,5,5,Quercus agrifolia,coast live oak
4/25/2019,2021-01-19 23:36:52 UTC,2,"3450 Laurel Canyon Blvd, Los Angeles, CA, US",34.13398525,-118.391518,50,50,Quercus agrifolia,coast live oak
4/25/2019,2019-04-26 17:30:04 UTC,0,"Los Angeles County, US-CA, US",33.98872298,-118.4360643,65,65,Quercus agrifolia,coast live oak
3/13/2019,2019-04-25 18:46:25 UTC,0,"Pasadena, CA 91105, USA",34.1402854,-118.167294,194,194,Quercus agrifolia,coast live oak
4/26/2019,2021-01-19 23:36:43 UTC,2,"2577 Las Virgenes Rd, Agoura Hills, CA 91301, USA",34.10924658,-118.7150777,5,5,Quercus agrifolia,coast live oak
4/26/2019,2021-01-20 19:43:41 UTC,2,"Polliwog Park, Manhattan Beach, CA, US",33.88842794,-118.3869445,9,9,Quercus agrifolia,coast live oak
4/26/2019,2019-05-05 01:49:51 UTC,1,"El Dorado Nature Center, Long Beach, CA, US",33.80946516,-118.0878408,10,10,Quercus agrifolia,coast live oak
4/26/2019,2019-05-05 22:35:43 UTC,2,"Eaton Canyon Nature Center, 1750 N Altadena Dr, Pasadena, CA 91107, USA",34.1770964,-118.0970268,21,21,Quercus agrifolia,coast live oak
4/26/2019,2019-05-05 01:59:12 UTC,1,"Eaton Canyon Nature Center, 1750 N Altadena Dr, Pasadena, CA 91107, USA",34.17709553,-118.0968523,4,4,Quercus agrifolia,coast live oak
4/26/2019,2019-05-05 22:35:43 UTC,1,"Eaton Canyon Nature Center, 1750 N Altadena Dr, Pasadena, CA 91107, USA",34.1770964,-118.0970268,48,48,Quercus agrifolia,coast live oak
4/26/2019,2022-11-20 02:43:35 UTC,2,"Santa Monica Mountains National Recreation Area, Malibu, CA, US",34.0535001,-118.7777323,24,24,Quercus agrifolia,coast live oak
4/26/2019,2019-04-26 18:08:01 UTC,0,"CA-14 N, Newhall, CA, US",34.37825621,-118.4673492,10,10,Quercus agrifolia,coast live oak
4/26/2019,2019-05-05 22:35:47 UTC,1,"2475 Cooley Pl, Pasadena, CA, US",34.16377217,-118.0989612,5,5,Quercus agrifolia,coast live oak
4/26/2019,2024-08-30 21:28:19 UTC,1,"Wilson Golf Course, Los Angeles, CA, US",34.13466603,-118.2890261,30,30,Quercus agrifolia,coast live oak
4/26/2019,2019-05-02 07:51:46 UTC,1,"Griffith Park, Los Angeles, CA, US",34.13486985,-118.2884942,19,19,Quercus agrifolia,coast live oak
4/26/2019,2024-08-29 16:40:48 UTC,1,"Deukmejian Wilderness Park, Glendale, CA, US",34.250705,-118.2508917,10,10,Quercus agrifolia,coast live oak
4/26/2019,2021-06-22 23:52:55 UTC,1,"Eaton Canyon Nature Center, 1750 N Altadena Dr, Pasadena, CA 91107, USA",34.1770964,-118.0970268,23,23,Quercus agrifolia,coast live oak
4/26/2019,2019-04-26 21:59:43 UTC,0,"Griffith Park, Los Angeles, CA, US",34.150825,-118.2947533,10,10,Quercus agrifolia,coast live oak
4/26/2019,2019-04-27 05:15:27 UTC,1,"Griffith Park, Los Angeles, CA, US",34.13473617,-118.2882167,5,5,Quercus agrifolia,coast live oak
4/26/2019,2019-04-26 22:23:46 UTC,1,"523 W Olive Ave, Monrovia, CA, US",34.14494396,-118.0106769,5,5,Quercus agrifolia,coast live oak
4/26/2019,2021-01-20 19:44:43 UTC,1,"Placerita Canyon Rd, Newhall, CA 91321, USA",34.37872785,-118.4667927,5,5,Quercus agrifolia,coast live oak
4/26/2019,2019-05-06 11:55:02 UTC,0,"Griffith Park, Los Angeles, CA, US",34.14399182,-118.2952846,10,10,Quercus agrifolia,coast live oak
4/26/2019,2021-01-20 19:43:45 UTC,1,"Baldwin Hills Scenic Overlook, Culver City, CA, US",34.01663793,-118.3823066,128,128,Quercus agrifolia,coast live oak
4/26/2019,2024-08-29 16:40:48 UTC,1,"La Tuna Canyon Park, Los Angeles, CA, USA",34.232273,-118.311122,219,219,Quercus agrifolia,coast live oak
4/26/2019,2020-06-01 07:29:09 UTC,2,"4331 Oak Grove Dr, La Cañada Flintridge, CA 91011, USA",34.1878383,-118.1792131,98,98,Quercus agrifolia,coast live oak
4/26/2019,2021-01-20 19:47:39 UTC,1,"Elsmere Motorway, Santa Clarita, CA, US",34.363075,-118.5018217,9,9,Quercus agrifolia,coast live oak
4/26/2019,2020-08-07 00:38:55 UTC,1,"Los Angeles, CA, USA",34.1348495,-118.2895508,,,Quercus agrifolia,coast live oak
4/26/2019,2019-12-06 06:03:14 UTC,0,"Griffith Park, Los Angeles, CA, US",34.12211984,-118.2973154,12,12,Quercus agrifolia,coast live oak
4/26/2019,2024-11-24 06:46:36 UTC,1,"Elsmere Motorway, Newhall, CA, US",34.36283667,-118.5014717,10,10,Quercus agrifolia,coast live oak
4/26/2019,2019-05-05 22:35:18 UTC,1,"Angeles National Forest, Altadena, CA, US",34.22585,-118.1641222,5,5,Quercus agrifolia,coast live oak
4/26/2019,2019-05-06 04:30:30 UTC,1,"Los Angeles, CA, USA",34.13273833,-118.29208,,,Quercus agrifolia,coast live oak
4/27/2019,2019-05-05 22:35:19 UTC,1,"Whittier Narrows Recreation Area, South El Monte, CA, US",34.03297934,-118.0472468,5,5,Quercus agrifolia,coast live oak
4/27/2019,2021-01-19 23:35:38 UTC,1,"Santa Monica Mountains National Recreation Area, Calabasas, CA, US",34.09447983,-118.6566016,24,24,Quercus agrifolia,coast live oak
4/27/2019,2021-01-19 23:35:29 UTC,2,"1201 Stunt Rd, Calabasas, CA 91302, USA",34.09398062,-118.6559144,7,7,Quercus agrifolia,coast live oak
4/26/2019,2019-05-19 16:27:20 UTC,1,"Los Angeles, CA, USA",34.13436384,-118.2889544,1,1,Quercus agrifolia,coast live oak
4/26/2019,2019-04-27 17:13:52 UTC,0,"Los Angeles, CA, USA",34.13467384,-118.2884069,2,2,Quercus agrifolia,coast live oak
4/27/2019,2019-05-07 13:23:21 UTC,1,"Los Angeles Zoo & Botanical Gardens, Los Angeles, CA, US",34.14806459,-118.2865589,65,65,Quercus agrifolia,coast live oak
4/26/2019,2019-04-28 07:43:01 UTC,1,"Los Angeles, CA, USA",34.13461541,-118.2890579,1,1,Quercus agrifolia,coast live oak
4/26/2019,2019-04-28 07:42:57 UTC,1,"Los Angeles, CA, USA",34.13413182,-118.2898472,1,1,Quercus agrifolia,coast live oak
4/27/2019,2019-05-05 22:35:36 UTC,1,"11525 Mount Gleason Ave, Los Angeles, CA, US",34.27640337,-118.3000326,19,19,Quercus agrifolia,coast live oak
4/27/2019,2021-01-20 19:48:59 UTC,1,"Mar Vista, Los Angeles, CA, USA",34.00577325,-118.4515201,2,2,Quercus agrifolia,coast live oak
4/27/2019,2019-05-06 05:14:46 UTC,0,"Santa Monica Mountains National Recreation Area, Los Angeles, CA, US",34.04558438,-118.5593037,50,50,Quercus agrifolia,coast live oak
